AUC,ACC,Recall,Precision,F1_score,classification_method,hyper_parameters,classification_time,experiment_time,data,model,seed,max_epoch_num,device
0.5925925925925926,0.6078431372549019,0.7575757575757576,0.6756756756756757,0.7142857142857142,SVM,"{'C': 0.03125, 'kernel': 'linear'}",7005.7185525894165,9414.390029668808,marker_Obesity.txt,cae,42,2000,cpu
0.6405723905723906,0.6274509803921569,0.9696969696969696,0.64,0.7710843373493975,Random Forest,"{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",918.8338105678558,9414.390029668808,marker_Obesity.txt,cae,42,2000,cpu
0.5606060606060606,0.4509803921568627,0.4242424242424242,0.6086956521739131,0.5,MLP,"{'alpha': 0.03125, 'hidden_layer_sizes': (128, 128)}",2762.416396379471,4146.935734510422,marker_Obesity.txt,plain,42,2000,cpu
0.6818181818181818,0.6470588235294118,1.0,0.6470588235294118,0.7857142857142858,SVM,"{'C': 0.125, 'gamma': 0.0001220703125, 'kernel': 'rbf'}",1190.0732917785645,4146.935734510422,marker_Obesity.txt,plain,42,2000,cpu
0.739057239057239,0.6470588235294118,1.0,0.6470588235294118,0.7857142857142858,Random Forest,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 500}",194.44215416908264,4146.935734510422,marker_Obesity.txt,plain,42,2000,cpu
0.5,0.6470588235294118,1.0,0.6470588235294118,0.7857142857142858,MLP,"{'alpha': 3.0517578125e-05, 'hidden_layer_sizes': (64, 64)}",16.17607045173645,100.52030444145204,marker_Obesity.txt,shallow_ae,42,2000,cpu
0.5,0.6470588235294118,1.0,0.6470588235294118,0.7857142857142858,SVM,"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}",0.6344509124755859,100.52030444145204,marker_Obesity.txt,shallow_ae,42,2000,cpu
0.5,0.6470588235294118,1.0,0.6470588235294118,0.7857142857142858,Random Forest,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",83.23759174346924,100.52030444145204,marker_Obesity.txt,shallow_ae,42,2000,cpu
0.4393939393939394,0.6470588235294118,1.0,0.6470588235294118,0.7857142857142858,MLP,"{'alpha': 0.00048828125, 'hidden_layer_sizes': (64, 64)}",23.25809216499329,118.35817503929138,marker_Obesity.txt,ae,42,2000,cpu
0.5244107744107744,0.6470588235294118,1.0,0.6470588235294118,0.7857142857142858,SVM,"{'C': 0.03125, 'kernel': 'linear'}",0.8658816814422607,118.35817503929138,marker_Obesity.txt,ae,42,2000,cpu
0.5244107744107744,0.6274509803921569,0.9696969696969696,0.64,0.7710843373493975,Random Forest,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",89.59697937965393,118.35817503929138,marker_Obesity.txt,ae,42,2000,cpu
0.3703703703703703,0.6470588235294118,1.0,0.6470588235294118,0.7857142857142858,MLP,"{'alpha': 0.001953125, 'hidden_layer_sizes': (512, 512)}",25.97003555297852,90.79003357887268,marker_Obesity.txt,vae,42,2000,cpu
0.5269360269360269,0.6470588235294118,1.0,0.6470588235294118,0.7857142857142858,SVM,"{'C': 0.125, 'kernel': 'linear'}",3.912842750549317,90.79003357887268,marker_Obesity.txt,vae,42,2000,cpu
0.5016835016835017,0.6078431372549019,0.8787878787878788,0.6444444444444445,0.7435897435897436,Random Forest,"{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",60.5026433467865,90.79003357887268,marker_Obesity.txt,vae,42,2000,cpu
0.6734006734006734,0.6274509803921569,0.7272727272727273,0.7058823529411765,0.7164179104477613,MLP,"{'alpha': 0.03125, 'hidden_layer_sizes': (64, 64)}",45.46060919761658,412.8160450458527,marker_Obesity.txt,pca,42,2000,cpu
0.6548821548821548,0.6470588235294118,0.9696969696969696,0.6530612244897959,0.7804878048780488,SVM,"{'C': 32, 'kernel': 'linear'}",292.2421131134033,412.8160450458527,marker_Obesity.txt,pca,42,2000,cpu
0.6750841750841751,0.6862745098039216,0.9696969696969696,0.6808510638297872,0.7999999999999999,Random Forest,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 4, 'n_estimators': 300}",74.02231097221375,412.8160450458527,marker_Obesity.txt,pca,42,2000,cpu
0.6464646464646465,0.6862745098039216,0.9090909090909092,0.6976744186046512,0.7894736842105263,MLP,"{'alpha': 0.5, 'hidden_layer_sizes': (64, 64)}",62.77194857597351,191.006667137146,marker_Obesity.txt,rp,42,2000,cpu
0.3265993265993266,0.6078431372549019,0.6666666666666666,0.7096774193548387,0.6875,SVM,"{'C': 0.03125, 'kernel': 'linear'}",5.681792497634888,191.006667137146,marker_Obesity.txt,rp,42,2000,cpu
