AUC,ACC,Recall,Precision,F1_score,classification_method,hyper_parameters,classification_time,experiment_time,data,model,seed,max_epoch_num,device
0.5,0.5072463768115942,0.0,0.0,0.0,MLP,"{'alpha': 0.0001220703125, 'hidden_layer_sizes': (128, 128)}",2492.601275920868,14115.473663568497,marker_T2D.txt,cae,42,2000,cpu
0.8016806722689076,0.7536231884057971,0.7941176470588235,0.7297297297297297,0.7605633802816901,SVM,"{'C': 0.03125, 'kernel': 'linear'}",10209.280279874802,14115.473663568497,marker_T2D.txt,cae,42,2000,cpu
0.7554621848739497,0.7101449275362319,0.7941176470588235,0.675,0.7297297297297296,Random Forest,"{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",1409.363472700119,14115.473663568497,marker_T2D.txt,cae,42,2000,cpu
0.8075630252100839,0.7391304347826086,0.7647058823529411,0.7222222222222222,0.7428571428571428,MLP,"{'alpha': 0.00048828125, 'hidden_layer_sizes': (128, 128)}",5410.766284704208,8130.763001203537,marker_T2D.txt,plain,42,2000,cpu
0.7714285714285715,0.7536231884057971,0.8235294117647058,0.717948717948718,0.767123287671233,SVM,"{'C': 0.03125, 'kernel': 'linear'}",2465.5655591487885,8130.763001203537,marker_T2D.txt,plain,42,2000,cpu
0.7277310924369748,0.6231884057971014,0.6176470588235294,0.6176470588235294,0.6176470588235294,Random Forest,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 500}",254.4276900291443,8130.763001203537,marker_T2D.txt,plain,42,2000,cpu
0.5466386554621848,0.5072463768115942,0.0,0.0,0.0,MLP,"{'alpha': 0.0078125, 'hidden_layer_sizes': (64, 64)}",18.924323797225952,100.77919220924377,marker_T2D.txt,shallow_ae,42,2000,cpu
0.4852941176470588,0.5072463768115942,0.0,0.0,0.0,SVM,"{'C': 0.03125, 'gamma': 0.001953125, 'kernel': 'rbf'}",1.15645432472229,100.77919220924377,marker_T2D.txt,shallow_ae,42,2000,cpu
0.5,0.5072463768115942,0.0,0.0,0.0,Random Forest,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",80.01977443695068,100.77919220924377,marker_T2D.txt,shallow_ae,42,2000,cpu
0.45252100840336135,0.4927536231884058,1.0,0.4927536231884058,0.6601941747572816,MLP,"{'alpha': 3.0517578125e-05, 'hidden_layer_sizes': (256, 256)}",28.255767822265625,132.10158133506775,marker_T2D.txt,ae,42,2000,cpu
0.3974789915966387,0.5072463768115942,0.0,0.0,0.0,SVM,"{'C': 0.03125, 'kernel': 'linear'}",1.6638667583465576,132.10158133506775,marker_T2D.txt,ae,42,2000,cpu
0.6978991596638655,0.6086956521739131,0.2647058823529412,0.8181818181818182,0.39999999999999997,Random Forest,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 700}",96.23059248924255,132.10158133506775,marker_T2D.txt,ae,42,2000,cpu
0.5025210084033613,0.5072463768115942,0.0,0.0,0.0,MLP,"{'alpha': 3.0517578125e-05, 'hidden_layer_sizes': (512, 512)}",17.82029414176941,100.80929470062256,marker_T2D.txt,vae,42,2000,cpu
0.5008403361344538,0.5072463768115942,0.0,0.0,0.0,SVM,"{'C': 8, 'gamma': 8, 'kernel': 'rbf'}",1.0233533382415771,100.80929470062256,marker_T2D.txt,vae,42,2000,cpu
0.5008403361344538,0.5072463768115942,0.029411764705882353,0.5,0.05555555555555555,Random Forest,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",80.57438230514526,100.80929470062256,marker_T2D.txt,vae,42,2000,cpu
0.6084033613445379,0.5797101449275363,0.6176470588235294,0.5675675675675675,0.5915492957746479,MLP,"{'alpha': 0.00048828125, 'hidden_layer_sizes': (64, 64)}",61.699997425079346,229.63535690307617,marker_T2D.txt,pca,42,2000,cpu
0.6226890756302521,0.5797101449275363,0.5882352941176471,0.5714285714285714,0.5797101449275363,SVM,"{'C': 0.5, 'gamma': 0.001953125, 'kernel': 'rbf'}",71.34873795509338,229.63535690307617,marker_T2D.txt,pca,42,2000,cpu
0.6256302521008403,0.5942028985507246,0.5588235294117647,0.59375,0.5757575757575757,Random Forest,"{'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",94.713534116745,229.63535690307617,marker_T2D.txt,pca,42,2000,cpu
0.5672268907563025,0.5362318840579711,0.47058823529411764,0.5333333333333333,0.5,MLP,"{'alpha': 0.0001220703125, 'hidden_layer_sizes': (512, 512)}",80.66370368003845,219.2725670337677,marker_T2D.txt,rp,42,2000,cpu
0.6100840336134454,0.5797101449275363,0.5294117647058824,0.5806451612903226,0.5538461538461539,SVM,"{'C': 2, 'gamma': 0.0001220703125, 'kernel': 'rbf'}",3.2653286457061768,219.2725670337677,marker_T2D.txt,rp,42,2000,cpu
0.6403361344537815,0.6231884057971014,0.5,0.6538461538461539,0.5666666666666668,Random Forest,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 300}",134.0224359035492,219.2725670337677,marker_T2D.txt,rp,42,2000,cpu
